address,lng,lat
"485 WASHINGTON STREET, WELLESLEY, MA, 02482",-71.28737,42.30103
"165 MILL ROAD, WESTHAMPTON BEACH, NY, 11978",-72.646576,40.814316
"17 BRIXTON ST, WEST HARTFORD, CT, 06107",,
"26 CENTRAL STREET, WEST SPRINGFIELD, MA, 01089",,
"400 MAIN ST., MOUNT KISCO, NY, 10549",,
"7 SOUTH STREET, WESTMINSTER, MA, 01473",-71.91164,42.544083
"169 UNIVERSITY AVE., WESTWOOD, MA, 02090",-71.15302,42.20474
"588 HIGH STREET, WESTWOOD, MA, 02090",-71.221535,42.228123
"250 SILAS DEANE HWY., WETHERSFIELD, CT, 06109",-72.66724,41.720253
"49 MAIN ST, WILLIAMSBURG, MA, 01096",,
"533 MAIN ST, WILLIMANTIC, CT, 06226",,
"7 BURNS HILL ROAD, P.O. BOX 183, WILTON, NH, 03086",-71.740295,42.844604
"6 PARKER STREET, WINCHESTER, NH, 03470",-72.38296,42.771523
"7 MCKAY AVE, WINCHESTER, MA, 01890",-71.135,42.46088
"170 ROCKINGHAM STRREET, BELLOWS FALLS, VT, 05101",,
"62 BLACK MOUNTAIN ROAD, BRATTLEBORO, VT, 05301",,
"2 EAST MAIN STREET, WILMINGTON, VT, 05363",-72.87097,42.868374
"11 JAIL STREET, NEWFANE, VT, 05345",-72.655,42.98549
"556 ELM STREET, CHESTER, VT, 05143",-72.5892,43.26819
"19 WEST HILL ROAD, LUDLOW, VT, 05149",-72.708374,43.394962
"201 CLINTON STREET, SPRINGFIELD, VT, 05156",-72.47201,43.288002
"5024 VT RT 106, PERKINSVILLE, VT, 05151",,
"29 UNION STREET, WINDSOR, VT, 05089",-72.39185,43.47713
"113 VERMONT ROUTE 30, BONDVILLE, VT, 05340",-72.88865,43.14423
"225 NICHOLS RD, WOLCOTT, CT, 06716",-72.98139,41.578506
"281 MAIN STREET SOUTH, WOODBURY, CT, 06798",-73.20819,41.54145
"1054 CASS AVE., WOONSOCKET, RI, 02895",-71.48086,42.004093
"242 CLINTON ST., WOONSOCKET, RI, 02895",-71.50947,42.005684
"64 HUNTINGTON ROAD, WORTHINGTON, MA, 01098",-72.937706,42.406864
"40 ALLENSTOWN ROAD, ALLENSTOWN, NH, 03275",-71.44179,43.119236
"718 MAIN ST, ANDOVER, NH, 03216",-71.8681,43.43163
"58 BEACON ST, ANDOVER, MA, 01810",,
"27 ACADEMY AVENUE, ATKINSON, NH, 03811",-71.141556,42.84098
"12 UNION ST, ATTLEBORO, MA, 02703",-71.281624,41.94381
"55 EATON HILL RD, AUBURN, NH, 03032",-71.33949,43.005867
"100 FEDERAL RD, BARRINGTON, RI, 02806",-71.32329,41.748676
"55 CONSTITUTION DR., BEDFORD, NH, 03110",-71.50073,42.956226
"116 NORTH MAIN STREET, BOSCAWEN, NH, 03303",-71.60424,43.288597
"40 NEW SUDBURY ST, BOSTON, MA, 02114",,
"20 VINE ST, CHARLESTOWN, MA, 02129",-71.055786,42.376545
"69 PARIS ST, EAST BOSTON, MA, 02128",-71.03874,42.371407
"2400 WASHINGTON ST, ROXBURY, MA, 02119",-71.08621,42.328434
"1165 BLUE HILL AVE, DORCHESTER CENTER, MA, 02124",-71.091286,42.284996
"40 GIBSON ST, DORCHESTER, MA, 02122",-71.059265,42.297676
"101 WEST BROADWAY, SOUTH BOSTON, MA, 02127",-71.05545,42.341774
"650 HARRISON AVE, BOSTON, MA, 02116",,
"3347 WASHINGTON ST, JAMAICA PLAIN, MA, 02130",-71.10452,42.309486
"1249 HYDE PARK AVE, HYDE PARK, MA, 02136",,
"1708 CENTRE ST, WEST ROXBURY, MA, 02132",-71.14835,42.28715
"7 KNOX RD, BOW, NH, 03304",-71.53415,43.155388
"282 UNION ST, BRAINTREE, MA, 02184",-70.99306,42.21145
"220 PLEASANT ST, BRIDGEWATER, MA, 02324",-70.98778,41.98699
"395 METACOM AVE, BRISTOL, RI, 02809",-71.26017,41.678776
"10 FATHER KENNY WAY, BROCKTON, MA, 02301",-71.02216,42.078274
"125 SIXTH ST, CAMBRIDGE, MA, 02142",-71.08584,42.367245
