name,CollectionSite,Address 1,City,state,postal,googleMapsUrl,address,source,source_date
FORT FAIRFIELD POLICE DEPARTMENT,FORT FAIRFIELD POLICE DEPARTMENT,18 COMMUNITY CENTER DRIVE,FORT FAIRFIELD,ME,4742,"http://maps.google.com/maps?q=18 COMMUNITY CENTER DRIVE,+FORT FAIRFIELD,+ME+04742&hl=en","18 COMMUNITY CENTER DRIVE, FORT FAIRFIELD, ME 04742",DEA,NTBD_2018_OCT
GOULDSBORO POLICE DEPARTMENT,GOULDSBORO TOWN OFFICE,59 MAIN STREET,PROSPECT HARBOR,ME,4669,"http://maps.google.com/maps?q=59 MAIN STREET,+PROSPECT HARBOR,+ME+04669&hl=en","59 MAIN STREET, PROSPECT HARBOR, ME 04669",DEA,NTBD_2018_OCT
HANCOCK COUNTY SHERIFF'S OFFICE,HANCOCK COUNTY SHERIFF'S OFFICE DROP BOX IN LOBBY,"50 STATE STREET, SUITE 10",ELLSWORTH,ME,4605,"http://maps.google.com/maps?q=50 STATE STREET, SUITE 10,+ELLSWORTH,+ME+04605&hl=en","50 STATE STREET, SUITE 10, ELLSWORTH, ME 04605",DEA,NTBD_2018_OCT
HOLDEN POLICE DEPARTMENT,HOLDEN POLICE DEPARTMENT,570 MAIN STREET,HOLDEN,ME,4429,"http://maps.google.com/maps?q=570 MAIN STREET,+HOLDEN,+ME+04429&hl=en","570 MAIN STREET, HOLDEN, ME 04429",DEA,NTBD_2018_OCT
HOULTON POLICE DEPARTMENT,HOULTON POLICE DEPARTMENT,97 MILITARY STREET,HOULTON,ME,4730,"http://maps.google.com/maps?q=97 MILITARY STREET,+HOULTON,+ME+04730&hl=en","97 MILITARY STREET, HOULTON, ME 04730",DEA,NTBD_2018_OCT
LIMESTONE POLICE DEPARTMENT,LIMESTONE POLICE DEPARTMENT STACEY MAHAN,93 MAIN STREET,LIMESTONE,ME,4750,"http://maps.google.com/maps?q=93 MAIN STREET,+LIMESTONE,+ME+04750&hl=en","93 MAIN STREET, LIMESTONE, ME 04750",DEA,NTBD_2018_OCT
LINCOLN POLICE DEPARTMENT,LINCOLN PUBLIC SAFETY BUILDING,1 ADAMS STREET,LINCOLN,ME,4457,"http://maps.google.com/maps?q=1 ADAMS STREET,+LINCOLN,+ME+04457&hl=en","1 ADAMS STREET, LINCOLN, ME 04457",DEA,NTBD_2018_OCT
MACHIAS POLICE DEPARTMENT,HANNAFORD SUPERMARKET OUTSIDE PARKING LOT - OPERATED BY MACHIAS PD,149 DUBLIN STREET,MACHIAS,ME,4654,"http://maps.google.com/maps?q=149 DUBLIN STREET,+MACHIAS,+ME+04654&hl=en","149 DUBLIN STREET, MACHIAS, ME 04654",DEA,NTBD_2018_OCT
MILBRIDGE POLICE DEPARTMENT,MILBRIDGE FIRE DEPARTMENT TRAINING ROOM - OPERATED BY MILBRIDGE PD,16 SCHOOL ST,MILBRIDGE,ME,4658,"http://maps.google.com/maps?q=16 SCHOOL ST,+MILBRIDGE,+ME+04658&hl=en","16 SCHOOL ST, MILBRIDGE, ME 04658",DEA,NTBD_2018_OCT
MILLINOCKET POLICE DEPARTMENT,MILLINOCKET POLICE DEPARTMENT,197 PENOBSCOT AVE,MILLINOCKET,ME,4462,"http://maps.google.com/maps?q=197 PENOBSCOT AVE,+MILLINOCKET,+ME+04462&hl=en","197 PENOBSCOT AVE, MILLINOCKET, ME 04462",DEA,NTBD_2018_OCT
MILO POLICE DEPARTMENT,MILO POLICE DEPARTMENT,6 PLEASANT STREET,MILO,ME,4463,"http://maps.google.com/maps?q=6 PLEASANT STREET,+MILO,+ME+04463&hl=en","6 PLEASANT STREET, MILO, ME 04463",DEA,NTBD_2018_OCT
MOUNT DESERT POLICE DEPARTMENT,MOUNT DESERT POLICE DEPARTMENT NORTHEAST HARBOR,21 SEA STREET,NORTHEAST HARBOR,ME,4662,"http://maps.google.com/maps?q=21 SEA STREET,+NORTHEAST HARBOR,+ME+04662&hl=en","21 SEA STREET, NORTHEAST HARBOR, ME 04662",DEA,NTBD_2018_OCT
OLD TOWN POLICE DEPARTMENT,OLD TOWN POLICE DEPARTMENT,150 BRUNSWICK ST,OLD TOWN,ME,4468,"http://maps.google.com/maps?q=150 BRUNSWICK ST,+OLD TOWN,+ME+04468&hl=en","150 BRUNSWICK ST, OLD TOWN, ME 04468",DEA,NTBD_2018_OCT
ORONO POLICE DEPARTMENT,BELLS IGA SUPERMARKET PARKING LOT - OPERATED BY PD,6 STILLWATER AVE,ORONO,ME,4473,"http://maps.google.com/maps?q=6 STILLWATER AVE,+ORONO,+ME+04473&hl=en","6 STILLWATER AVE, ORONO, ME 04473",DEA,NTBD_2018_OCT
PASSAMAQUODDY INDIAN TOWNSHIP POLICE DEPARTMENT,PASSAMAQUODDY INDIAN TOWNSHIP POLICE DEPARTMENT PUBLIC SAFETY COMPLEX,443 ROUTE 1,PRINCETON,ME,4668,"http://maps.google.com/maps?q=443 ROUTE 1,+PRINCETON,+ME+04668&hl=en","443 ROUTE 1, PRINCETON, ME 04668",DEA,NTBD_2018_OCT
PENOBSCOT COUNTY SHERIFF'S OFFICE,AIRPORT MALL PARKING LOT UNION ST BY HANNAFORD'S - OPERATED BY PENOBSCOT COUNTY SO,1129 UNION STREET,BANGOR,ME,4401,"http://maps.google.com/maps?q=1129 UNION STREET,+BANGOR,+ME+04401&hl=en","1129 UNION STREET, BANGOR, ME 04401",DEA,NTBD_2018_OCT
PENOBSCOT NATION POLICE DEPARTMENT,PENOBSCOT NATION POLICE DEPARTMENT,12 WABANAKI WAY,INDIAN ISLAND,ME,4468,"http://maps.google.com/maps?q=12 WABANAKI WAY,+INDIAN ISLAND,+ME+04468&hl=en","12 WABANAKI WAY, INDIAN ISLAND, ME 04468",DEA,NTBD_2018_OCT
PISCATAQUIS COUNTY SHERIFF'S OFFICE,PISCATAQUIS COUNTY SHERIFF'S OFFICE,52 COURT STREET,DOVER FOXCROFT,ME,4426,"http://maps.google.com/maps?q=52 COURT STREET,+DOVER FOXCROFT,+ME+04426&hl=en","52 COURT STREET, DOVER FOXCROFT, ME 04426",DEA,NTBD_2018_OCT
